iteration	time	leafsWith	leafsWithout
21	2.4366150750172153	1	1
21	3.2146629830552627	25	2
21	2.339810319114946	2	1
21	2.651655254280513	1	1
21	3.0652175481212964	1	3
21	3.115654603472791	1	11
22	2.9219417261538183	16	1
22	0.5124902036818924	1	1
22	1.6056834104766153	2	2
22	2.662522177030752	1	3
22	3.2473769456335333	1	6
22	3.055798730672592	1	1
22	3.02169804281786	2	1
22	3.3696305602562404	1	53
22	2.010524883658519	6	1
22	0.49359660546107875	1	5
22	0.6738728608716826	8	12
22	1.5834683704353836	1	1
22	3.2163953998377792	25	5
22	3.1527632506506222	25	2
22	3.1514427835552112	4	6
22	2.6606681870631803	1	2
22	2.9225580531229127	4	1
22	0.5710363071659685	1	2
22	1.7270271105223003	35	1
22	2.419420937680684	1	1
22	2.611012249895907	1	3
22	0.5047802612642442	1	1
22	3.0745352014453715	1	1
22	1.6460507133114959	30	1
22	3.4049737966795703	54	222
22	2.5888592941101933	4	1
22	0.6489238141950295	1	3
22	2.8609403064044443	1	2
22	3.274940785698419	148	32
22	1.5771086904713911	1	3
22	3.281465579935258	30	17
22	1.585577243343323	1	3
22	4.23955095755457	5	44
22	3.1650629130504626	9	1
22	2.6499033617959356	61	2
22	3.0401963477146694	1	1
23	2.6411934264077104	1	1
23	3.280875216033138	148	4
23	0.6772442838527013	8	27
23	0.4957594901048026	1	5
23	1.7121703587359605	6	1
23	2.6600725171788895	1	2
23	2.8478834265687	16	1
23	0.5246716438589658	1	2
23	0.4984391079522936	1	1
23	3.211226204222868	25	2
23	2.5949825138986284	61	2
23	3.1497712878967263	9	109
23	1.576072123478184	2	1
23	2.841356956528557	7	4
23	3.141583810390472	4	21
23	1.5541058666745187	1	3
23	2.443416053799126	1	1
23	1.6057910031899496	35	1
23	1.5069628135554467	1	2
23	3.2938088963449275	1	53
23	3.257035620559833	30	6
23	3.052731209934535	1	1
23	3.067715742897718	1	2
23	2.6297125233969325	2	5
23	4.3481912492841275	5	44
23	2.8491087100000243	4	1
23	3.3650127406917534	54	2
23	2.9810541059333673	1	1
24	2.881087785901542	4	1
24	3.2782509439261673	30	23
24	3.2329847378898933	25	2
24	2.7254028807012105	1	2
24	2.9476352526173457	16	1
24	1.5637954684735291	2	1
24	3.13393486941024	9	1
24	3.1330394003911692	4	21
24	0.5215742551236815	1	1
24	1.6012821205387127	1	7
24	1.7059139343994332	6	1
24	1.524817856005967	1	3
24	2.4148791119422413	4	1
24	4.285530948214813	5	44
24	3.021550512299285	1	1
24	0.5242686832401375	1	3
24	0.5563599536325796	1	1
24	2.872968197293659	7	4
24	3.034897687232302	1	2
24	1.5175425220042769	35	1
24	2.6254851838779416	2	5
24	0.6947482352963448	8	15
24	2.3664696654439012	1	1
24	2.64115843716624	1	1
24	2.662698454798857	61	2
24	3.383741143557927	1	53
24	0.5583111254900359	1	2
24	0.8978499268899327	4	1
24	3.242304659200073	25	1
24	3.277927768737783	148	6
24	3.039217681947264	1	1
24	3.4195167068651244	54	222
25	2.6842073754415026	1	2
25	3.2779305237521896	30	23
25	0.6688912631675805	8	15
25	2.467030552508618	1	1
25	2.821841199766567	7	5
25	0.5638069038924414	1	3
25	3.0604530697967505	17	1
25	2.7934855468531623	4	1
25	1.522111665655956	1	3
25	1.5938817137038939	1	3
25	1.48207640264485	1	1
25	3.2106878550087288	25	4
25	1.5556529132706771	2	1
25	3.0554209167662805	1	5
25	0.5391441514753694	2	1
25	3.0366196306742097	1	1
25	4.129841455297964	5	44
25	3.239067861968522	148	31
25	2.4076298445367286	4	1
25	2.6666988564127507	1	3
25	2.61753533240946	1	4
25	1.57532925175056	1	1
25	3.1087385744299354	4	21
25	1.5225791444037213	35	1
25	0.48739790377496206	1	1
25	3.1359649037010513	9	1
25	3.386840653688381	53	223
25	3.1017172214431525	1	1
25	1.9521216513766149	6	1
25	2.638632686054706	1	3
25	2.6950982879039884	2	5
25	3.264172476340434	25	2
25	2.635412312579632	61	2
25	0.6022109901532247	1	8
25	3.3001496775085286	1	207
26	0.6542550135090721	2	7
26	0.5208580654296497	1	1
26	0.49486201384644346	1	1
26	3.0521783839404293	1	1
26	2.421972758444639	1	1
26	1.6299589541392834	2	2
26	0.5062471848598307	1	3
26	1.9067902363782707	6	1
26	3.127554423836756	4	21
26	2.984145885476238	1	1
26	0.6232857833100525	8	13
26	2.990333677150744	1	1
26	4.420681499996164	5	44
26	1.5194676340096862	1	2
26	3.316903331150087	30	23
26	2.7860685234877565	4	1
26	2.6089388977922	61	2
26	3.4306322308597146	53	223
26	1.5697300101987537	1	5
26	3.1441460870062485	9	1
26	3.1810575612674086	25	2
26	1.5235021309788692	35	1
26	3.025910761490053	1	1
26	2.8297513165015573	7	5
26	2.5844259918922887	2	5
26	2.6289879122945763	1	2
26	3.19758022343251	25	1
26	2.6801862590353664	1	3
26	1.5528330815585036	2	28
26	2.8809309306365947	16	1
26	3.2165334840321123	148	31
26	2.5751385538792704	4	1
26	1.624117202187108	30	1
27	2.696830244763362	61	2
27	3.2222052892840907	148	31
27	0.4799528119449121	1	1
27	2.506066859780276	1	1
27	0.5826412152416651	2	7
27	1.7288105781954073	6	1
27	3.181900328805284	25	2
27	3.294338307560878	30	23
27	3.1867754445087826	25	2
27	2.6466368128284046	1	2
27	1.5737015866432955	1	1
27	1.520467174384521	1	1
27	2.4537246909165447	4	1
27	1.29244205844941	35	1
27	3.375699500285748	53	223
27	3.1689929642112133	9	24
27	2.872481916254941	16	1
27	3.1249767174290355	4	2
27	0.4900154056106203	1	3
27	4.349169585440791	5	44
27	2.8252247346056265	4	1
27	2.6682519573687955	1	1
27	3.041504389344169	1	1
27	3.0810907113127826	1	4
27	3.256179978890316	1	1
27	3.0299234193832376	1	1
27	0.5557858388776538	1	1
27	2.9969630855177627	1	2
27	0.6908236702224713	8	15
27	1.5579791920488901	2	1
28	0.6904807054263813	8	15
28	2.8353105079367253	4	1
28	1.3765243163662433	35	1
28	2.6876367078420174	1	16
28	3.005955570607256	1	1
28	2.5908877242561346	1	2
28	3.0074438944680253	1	1
28	0.5941816642202866	2	7
28	1.5597940397597085	1	3
28	3.241158556424466	148	2
28	3.1554544541613154	9	1
28	0.5377782541288241	1	3
28	3.188861851329733	25	2
28	2.3833614745732064	1	1
28	0.49700964219636035	1	1
28	3.1478164366249644	4	15
28	0.5368392511085744	1	1
28	1.5370547093119171	1	3
28	3.232799154794293	30	23
28	1.6647644272920843	6	1
28	2.632963402814852	1	1
28	3.4314395212678335	1	19
28	3.3322607503790778	54	222
28	2.906956819376063	17	1
28	2.5828870322790465	61	2
28	1.58502480144017	1	4
28	2.807382000546511	5	4
28	3.9414849884843477	5	44
28	2.5960426610078287	4	1
28	3.199357814861031	25	2
28	1.558775866947144	2	1
28	3.3195482076960445	1	53
28	3.0128913405264655	1	1
29	3.3459468397787475	1	53
29	2.8382330441754107	16	1
29	1.5635166823741145	1	3
29	2.8699958901620164	1	1
29	3.0269273470864846	1	1
29	0.484424051548757	1	1
29	0.7178623289092911	8	15
29	3.2144375965373797	148	3
29	2.6172855953857947	61	2
29	0.565135731329633	6	1
29	3.1754025507705705	25	2
29	1.1796820267062742	35	1
29	3.117055737274711	3	1
29	0.4928247122610685	1	2
29	2.776969586639069	5	4
29	1.4630528722191514	1	1
29	4.139810112875182	5	44
29	2.88623103858086	4	1
29	0.5828146678613564	1	3
29	2.654244367933501	4	1
29	3.3999754062806744	1	19
29	3.3566893082244462	54	222
29	1.0384137690070077	1	2
29	2.4769701752704236	1	2
29	2.62754224195794	1	2
29	2.406713418274677	1	1
29	2.976125670827372	1	1
29	3.2694271143033973	30	23
29	3.1630670510176913	25	2
29	1.5251713111114213	1	3
29	3.142952644083465	9	27
29	1.5507100471556612	2	1
29	1.901297499792662	6	1
30	1.6385444581894433	35	1
30	3.129330055221402	4	21
30	2.84746791445977	4	1
30	3.171924875118151	25	2
30	0.5384517498162609	1	1
30	2.6262119753069157	1	1
30	1.5782736623926894	1	1
30	3.1387720928179306	9	134
30	1.586287464354939	1	3
30	3.128480376151174	25	2
30	3.0359554628395813	1	17
30	2.788923030444465	5	4
30	2.7115453522444284	1	2
30	3.012161412984824	1	1
30	0.594989516175275	1	6
